"COMUNA","FECHA","PERIODO","MES","DIA","DIA_NOMBRE","total","DIA_NUM"
"Aranjuez","2014-10-08T00:00:00.000Z",2014,10,8,"MIÉRCOLES",9,3
"Aranjuez","2014-10-09T00:00:00.000Z",2014,10,9,"JUEVES   ",10,4
"Aranjuez","2014-10-10T00:00:00.000Z",2014,10,10,"VIERNES  ",5,5
"Aranjuez","2014-10-11T00:00:00.000Z",2014,10,11,"SÁBADO   ",9,6
"Aranjuez","2014-10-12T00:00:00.000Z",2014,10,12,"DOMINGO  ",1,7
"Aranjuez","2014-10-13T00:00:00.000Z",2014,10,13,"LUNES    ",5,1
"Aranjuez","2014-10-14T00:00:00.000Z",2014,10,14,"MARTES   ",7,2
"Aranjuez","2014-10-15T00:00:00.000Z",2014,10,15,"MIÉRCOLES",8,3
"Aranjuez","2014-10-16T00:00:00.000Z",2014,10,16,"JUEVES   ",2,4
"Aranjuez","2014-10-17T00:00:00.000Z",2014,10,17,"VIERNES  ",5,5
"Aranjuez","2014-10-18T00:00:00.000Z",2014,10,18,"SÁBADO   ",5,6
"Aranjuez","2014-10-19T00:00:00.000Z",2014,10,19,"DOMINGO  ",6,7
"Aranjuez","2014-10-20T00:00:00.000Z",2014,10,20,"LUNES    ",8,1
"Aranjuez","2014-10-21T00:00:00.000Z",2014,10,21,"MARTES   ",4,2
"Aranjuez","2014-10-22T00:00:00.000Z",2014,10,22,"MIÉRCOLES",6,3
"Aranjuez","2014-10-23T00:00:00.000Z",2014,10,23,"JUEVES   ",6,4
"Aranjuez","2014-10-24T00:00:00.000Z",2014,10,24,"VIERNES  ",5,5
"Aranjuez","2014-10-25T00:00:00.000Z",2014,10,25,"SÁBADO   ",9,6
"Aranjuez","2014-10-26T00:00:00.000Z",2014,10,26,"DOMINGO  ",6,7
"Aranjuez","2014-10-27T00:00:00.000Z",2014,10,27,"LUNES    ",2,1
"Aranjuez","2014-10-28T00:00:00.000Z",2014,10,28,"MARTES   ",11,2
"Aranjuez","2014-10-29T00:00:00.000Z",2014,10,29,"MIÉRCOLES",11,3
"Aranjuez","2014-10-30T00:00:00.000Z",2014,10,30,"JUEVES   ",9,4
"Aranjuez","2014-10-31T00:00:00.000Z",2014,10,31,"VIERNES  ",11,5
"Aranjuez","2014-11-01T00:00:00.000Z",2014,11,1,"SÁBADO   ",10,6
