"","COMUNA","FECHA","PERIODO","MES","DIA","DIA_NOMBRE","total","DIA_NUM","pasted","especial"
"101","Aranjuez","2014-04-11T00:00:00.000Z",2014,4,11,"VIERNES  ",6,5,"11/4/2014",0
"102","Aranjuez","2014-04-12T00:00:00.000Z",2014,4,12,"SÁBADO   ",10,6,"12/4/2014",0
"103","Aranjuez","2014-04-13T00:00:00.000Z",2014,4,13,"DOMINGO  ",7,7,"13/4/2014",1
"104","Aranjuez","2014-04-14T00:00:00.000Z",2014,4,14,"LUNES    ",10,1,"14/4/2014",0
"105","Aranjuez","2014-04-15T00:00:00.000Z",2014,4,15,"MARTES   ",7,2,"15/4/2014",0
"106","Aranjuez","2014-04-16T00:00:00.000Z",2014,4,16,"MIÉRCOLES",8,3,"16/4/2014",0
"107","Aranjuez","2014-04-17T00:00:00.000Z",2014,4,17,"JUEVES   ",4,4,"17/4/2014",1
"108","Aranjuez","2014-04-18T00:00:00.000Z",2014,4,18,"VIERNES  ",4,5,"18/4/2014",1
"109","Aranjuez","2014-04-19T00:00:00.000Z",2014,4,19,"SÁBADO   ",5,6,"19/4/2014",0
"110","Aranjuez","2014-04-20T00:00:00.000Z",2014,4,20,"DOMINGO  ",3,7,"20/4/2014",1
"111","Aranjuez","2014-04-21T00:00:00.000Z",2014,4,21,"LUNES    ",12,1,"21/4/2014",0
"112","Aranjuez","2014-04-22T00:00:00.000Z",2014,4,22,"MARTES   ",5,2,"22/4/2014",0
"113","Aranjuez","2014-04-23T00:00:00.000Z",2014,4,23,"MIÉRCOLES",8,3,"23/4/2014",0
"114","Aranjuez","2014-04-24T00:00:00.000Z",2014,4,24,"JUEVES   ",3,4,"24/4/2014",0
"115","Aranjuez","2014-04-25T00:00:00.000Z",2014,4,25,"VIERNES  ",10,5,"25/4/2014",0
"116","Aranjuez","2014-04-26T00:00:00.000Z",2014,4,26,"SÁBADO   ",6,6,"26/4/2014",0
"117","Aranjuez","2014-04-27T00:00:00.000Z",2014,4,27,"DOMINGO  ",12,7,"27/4/2014",0
"118","Aranjuez","2014-04-28T00:00:00.000Z",2014,4,28,"LUNES    ",11,1,"28/4/2014",0
"119","Aranjuez","2014-04-29T00:00:00.000Z",2014,4,29,"MARTES   ",6,2,"29/4/2014",0
"120","Aranjuez","2014-05-01T00:00:00.000Z",2014,5,1,"JUEVES   ",7,4,"1/5/2014",1
"121","Aranjuez","2014-05-02T00:00:00.000Z",2014,5,2,"VIERNES  ",12,5,"2/5/2014",0
"122","Aranjuez","2014-05-03T00:00:00.000Z",2014,5,3,"SÁBADO   ",10,6,"3/5/2014",0
"123","Aranjuez","2014-05-04T00:00:00.000Z",2014,5,4,"DOMINGO  ",6,7,"4/5/2014",0
"124","Aranjuez","2014-05-05T00:00:00.000Z",2014,5,5,"LUNES    ",6,1,"5/5/2014",0
"125","Aranjuez","2014-05-06T00:00:00.000Z",2014,5,6,"MARTES   ",9,2,"6/5/2014",0
"126","Aranjuez","2014-05-07T00:00:00.000Z",2014,5,7,"MIÉRCOLES",4,3,"7/5/2014",0
